path,true,predicted,sm0,sm1,sm2,sm3,correct
images/1017_1047_10_0_1.png,1,1,0.007827611,0.8005607,0.18028274,0.011328914,1
images/1017_1047_10_100_1.png,1,1,0.047290362,0.46688247,0.452032,0.033795178,1
images/1017_1047_10_101_1.png,1,1,0.0076372554,0.49341106,0.49258888,0.0063628894,1
images/1017_1047_10_103_1.png,1,1,0.34064966,0.62538916,0.031019121,0.0029420198,1
images/1017_1047_10_104_1.png,1,1,0.024090307,0.5478261,0.41631627,0.011767312,1
images/1017_1047_10_105_1.png,1,1,0.02140575,0.61029404,0.35659292,0.011707261,1
images/1017_1047_10_106_1.png,1,1,0.07584885,0.6907339,0.20657238,0.026844881,1
images/1017_1047_10_107_1.png,1,1,0.03218194,0.7669719,0.19271909,0.00812701,1
images/1017_1047_10_108_1.png,1,1,0.072442845,0.90664834,0.020381786,0.00052704004,1
images/1017_1047_10_109_1.png,1,1,0.02826333,0.619906,0.3068165,0.045014184,1
images/1017_1047_10_10_1.png,1,1,0.16458556,0.3804232,0.32143453,0.13355671,1
images/1017_1047_10_110_1.png,1,1,0.053051483,0.59737647,0.31456548,0.035006583,1
images/1017_1047_10_111_1.png,1,1,0.0022807177,0.6631608,0.33190593,0.0026525254,1
images/1017_1047_10_112_1.png,1,1,0.059998598,0.509138,0.37127933,0.059584096,1
images/1017_1047_10_114_1.png,1,1,0.13804422,0.33995342,0.30195516,0.2200472,1
images/1017_1047_10_11_1.png,1,1,0.0089149065,0.61121184,0.37432373,0.005549528,1
images/1017_1047_10_12_1.png,1,1,0.028866338,0.7034994,0.2475745,0.020059772,1
images/1017_1047_10_14_1.png,1,1,0.0060272077,0.92303425,0.068919696,0.0020188962,1
images/1017_1047_10_15_1.png,1,1,0.06721548,0.6716496,0.22943364,0.03170125,1
images/1017_1047_10_16_1.png,1,1,0.0065896055,0.7264054,0.26138186,0.0056232098,1
images/1017_1047_10_17_1.png,1,1,0.033578135,0.8221155,0.137601,0.006705388,1
images/1017_1047_10_18_1.png,1,1,0.0010358298,0.9906053,0.00832833,3.0604104e-05,1
images/1017_1047_10_19_1.png,1,1,0.042778432,0.7385013,0.20581035,0.01291001,1
images/1017_1047_10_20_1.png,1,1,0.004558613,0.53216034,0.42293587,0.040345132,1
images/1017_1047_10_21_1.png,1,1,0.18213192,0.30730495,0.30329442,0.20726867,1
images/1017_1047_10_22_1.png,1,1,0.0070053805,0.93880934,0.053699233,0.00048606252,1
images/1017_1047_10_23_1.png,1,1,0.0078097377,0.9655758,0.026196068,0.00041835135,1
images/1017_1047_10_24_1.png,1,1,0.052948136,0.57833564,0.31919158,0.049524665,1
images/1017_1047_10_25_1.png,1,1,0.05972648,0.7643398,0.16784471,0.008089051,1
images/1017_1047_10_26_1.png,1,1,0.049602866,0.5487509,0.37441346,0.027232742,1
images/1017_1047_10_27_1.png,1,1,0.0240172,0.70695156,0.25706917,0.011962122,1
images/1017_1047_10_28_1.png,1,1,0.03491256,0.74448204,0.20183879,0.018766634,1
images/1017_1047_10_29_1.png,1,1,0.00354602,0.7919258,0.19977696,0.0047511877,1
images/1017_1047_10_2_1.png,1,1,0.023939498,0.7181175,0.24454634,0.013396682,1
images/1017_1047_10_30_1.png,1,1,0.041818112,0.738247,0.19388837,0.026046552,1
images/1017_1047_10_31_1.png,1,1,0.16543245,0.59656173,0.21007511,0.027930703,1
images/1017_1047_10_32_1.png,1,1,0.070525944,0.77386326,0.13849096,0.017119797,1
images/1017_1047_10_33_1.png,1,1,0.015191451,0.6610715,0.30529836,0.018438643,1
images/1017_1047_10_34_1.png,1,1,0.06350056,0.6747651,0.23675846,0.024975883,1
images/1017_1047_10_35_1.png,1,1,0.036025666,0.79356414,0.16136436,0.009045845,1
images/1017_1047_10_36_1.png,1,1,0.033340923,0.78230006,0.1661819,0.018177189,1
images/1017_1047_10_3_1.png,1,1,0.04239481,0.69673014,0.24489154,0.015983477,1
images/1017_1047_10_40_2.png,2,2,0.0330495,0.25503492,0.49421683,0.21769875,1
images/1017_1047_10_41_2.png,2,2,0.012525446,0.19858758,0.46917757,0.31970945,1
images/1017_1047_10_43_2.png,2,2,0.008035185,0.18797305,0.5162737,0.2877181,1
images/1017_1047_10_44_2.png,2,2,0.022302063,0.2419468,0.45954776,0.27620336,1
images/1017_1047_10_45_2.png,2,2,0.00040114124,0.05306085,0.8087099,0.13782808,1
images/1017_1047_10_46_2.png,2,2,0.012492598,0.18652216,0.6533623,0.14762299,1
images/1017_1047_10_47_2.png,2,2,0.003529534,0.07885045,0.71349466,0.2041254,1
images/1017_1047_10_48_2.png,2,2,0.016586488,0.17171842,0.6208981,0.19079696,1
